title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"Attention mechanism, transformers, BERT, and GPT: tutorial and survey","B Ghojogh, A Ghodsi",2020,153,"… attention mechanism, sequenceto-sequence model without and with attention, self-attention, and attention … Then, we explain transformers which do not use any recurrence. We explain …",zEwy2ze0e5QJ,"B Ghojogh, A Ghodsi - 2020 - hal.science",[],https://hal.science/hal-04637647/,unknown,unknown
Transformer architecture and attention mechanisms in genome data analysis: a comprehensive review,"SR Choi, M Lee",2023,267,… the transformer architecture and the attention mechanism in … specific application of transformers and attention methods. … of deep learning with transformers and attention mechanisms for …,LY1VJ0g70YsJ,"SR Choi, M Lee - Biology, 2023 - mdpi.com",[],https://www.mdpi.com/2079-7737/12/7/1033,unknown,unknown
A novel time–frequency Transformer based on self–attention mechanism and its application in fault diagnosis of rolling bearings,"Y Ding, M Jia, Q Miao, Y Cao",2022,545,"… , while the latest Transformer architecture based on attention mechanism has not yet been … frequency Transformer (TFT) model inspired by the massive success of vanilla Transformer in …",9PbGpF3yMeAJ,"Y Ding, M Jia, Q Miao, Y Cao - Mechanical Systems and Signal Processing, 2022 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0888327021009468,unknown,unknown
Attention mechanism in neural networks: where it comes and where it goes,D Soydaner,2022,509,"… to integrate the visual attention idea to neural networks, and continue until the most modern neural networks armed with attention mechanisms. One of them is the Transformer, which is …",tSXH40rzg04J,"D Soydaner - Neural Computing and Applications, 2022 - Springer",[],https://link.springer.com/article/10.1007/s00521-022-07366-3,unknown,unknown
Swin-transformer-enabled YOLOv5 with attention mechanism for small object detection on satellite images,"H Gong, T Mu, Q Li, H Dai, C Li, Z He, W Wang, F Han…",2022,219,"… of MSA in transformer is proportional to the quadratic image size. To improve the computational efficiency of self-attention, we introduced the Swin transformer encoder blocks into the …",hbXE-TFUSH4J,"H Gong, T Mu, Q Li, H Dai, C Li, Z He, W Wang, F Han… - Remote Sensing, 2022 - mdpi.com",[],https://www.mdpi.com/2072-4292/14/12/2861,unknown,unknown
When shift operation meets vision transformer: An extremely simple alternative to attention mechanism,"G Wang, Y Zhao, C Tang, C Luo, W Zeng",2022,109,"… transformers (ViTs), since it provides a flexible and powerful way to model spatial relationships. However, is the attention mechanism … To demystify the role of attention mechanism, we …",WwH7R3WlQswJ,"G Wang, Y Zhao, C Tang, C Luo, W Zeng - Proceedings of the AAAI …, 2022 - ojs.aaai.org",[],https://ojs.aaai.org/index.php/AAAI/article/view/20142,unknown,unknown
Convolutional transformer: An enhanced attention mechanism architecture for remaining useful life estimation of bearings,"Y Ding, M Jia",2022,137,"… To our best knowledge, however, Transformer has not been exploited in the field of … convolutional Transformer (CoT) that combines the global context capturing of attention mechanism …",VK0_uJa_RXEJ,"Y Ding, M Jia - IEEE Transactions on Instrumentation and …, 2022 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9792382/,unknown,unknown
Easy attention: A simple attention mechanism for temporal predictions with transformers,"M Sanchis-Agudo, Y Wang, R Arnau…",2025,24,"… the robustness of transformer neural … attention mechanism called easy attention, which we demonstrate in time-series reconstruction and prediction. While the standard self-attention …",bHBXDe-wr74J,"M Sanchis-Agudo, Y Wang, R Arnau… - APL Computational …, 2025 - pubs.aip.org",[],https://pubs.aip.org/aip/aco/article/1/1/016104/3362108,unknown,unknown
A novel transformer-based network with attention mechanism for automatic pavement crack detection,"F Guo, J Liu, C Lv, H Yu",2023,103,"… , this study proposes a Transformer-based semantic segmentation network that unifies the Swin Transformer as the Encoder and the UperNet with the attention module as the Decoder …",Ib1bj-QHXNgJ,"F Guo, J Liu, C Lv, H Yu - Construction and Building Materials, 2023 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0950061823015659,unknown,unknown
Fault detection of complicated processes based on an enhanced transformer network with graph attention mechanism,"Y Cao, X Tang, X Deng, P Wang",2024,22,"… For this problem, an improved transformer network model with graph attention mechanism (… On the one hand, a transformer encoder module equipped with a self-attention mechanism is …",aeoFg9A8JagJ,"Y Cao, X Tang, X Deng, P Wang - Process Safety and Environmental …, 2024 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0957582024003641,unknown,unknown
